search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,search-results__item-description 2,item-location href,item-location src,item-location,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,score-text--na
https://www.tasteatlas.com/stifado-cyprus,https://cdn.tasteatlas.com//Images/Dishes/5c4aa0b40cfa4c1d84571b78a62fe4b6.jpg?mw=660,1,Stew,https://www.tasteatlas.com/Stews,Stifado,4.6,"Stifado is a hearty Greek one-pot stew that is ideal for a cold winter's day. Although the ingredients vary from region to region and from cook to cook, the essential ones are large amounts of onions, tomatoes, wine or vinegar, and sometimes garli...",https://www.tasteatlas.com/stifado-cyprus/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Goat,https://cdn.tasteatlas.com/images/ingredientgroups/284c1ffb7c3842819b1484d3dd665106.png?h=120&w=120,https://www.tasteatlas.com/octopuses,https://cdn.tasteatlas.com/images/ingredientgroups/bdce1ea248964158af865718ad3c7e84.png?h=120&w=120,https://www.tasteatlas.com/snails,https://cdn.tasteatlas.com/images/ingredientgroups/426ef6e1a9194a05864b6afc06f47b10.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,,,,,,,,
https://www.tasteatlas.com/loukoumades-2,https://cdn.tasteatlas.com//images/dishes/e460c51adc3447639c4418cbaa439309.jpg?mw=660,2,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Loukoumades,3.9,"This internationally known, decadent, and sugar-packed dessert is usually made with a mixture of flour, sugar, yeast, and salt, which is deep-fried and then bathed in syrup or honey. The origin of lokma fritters is ancient but often debated. It is...",https://www.tasteatlas.com/loukoumades-2/wheretoeat,,,,,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/kleftiko-cyprus,https://cdn.tasteatlas.com//Images/Dishes/1c7b5cb1eb6642c9abbf6936cbeea24b.jpg?mw=660,3,Lamb/Mutton Dish,https://www.tasteatlas.com/lamb-and-mutton-dishes,Kleftiko,4.8,"Kleftiko is a typical Greek dish that is commonly prepared at festive events and celebrations, consisting of a succulent piece of lamb or goat meat that is wrapped in foil and baked in airtight ovens. Also spelled as , the name c...",https://www.tasteatlas.com/kleftiko-cyprus/wheretoeat,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Carrots,https://cdn.tasteatlas.com/images/ingredientgroups/c497c7c9cd1447ebabf0565c1ef4387e.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Cream,https://cdn.tasteatlas.com/images/ingredientgroups/a76acdd303af40d8a855f274ac9ac6d4.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/stocks,https://cdn.tasteatlas.com/images/ingredientgroups/27990ac3f60a4812ad3aadf8f044cdb6.png?h=120&w=120,klephtiko,,,,,,,
https://www.tasteatlas.com/sheftalia,https://cdn.tasteatlas.com//Images/Dishes/dafe256fabbe4c3bb8349182f7397d07.jpg?mw=660,4,Ground Meat Dish,https://www.tasteatlas.com/ground-meat-dishes,Sheftalia,4.5,"This traditional Cypriot sausage is made from a mixture of minced pork and lamb, chopped red onion, and parsley wrapped in caul fat, a thin fatty membrane that lines the stomach of cows, sheep, and pigs. There are two theories as to how the dish g...",https://www.tasteatlas.com/sheftalia/wheretoeat,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/parsley,https://cdn.tasteatlas.com/images/ingredientgroups/205f99273994439fb0e05fa744a9d98a.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/black-pepper,https://cdn.tasteatlas.com/images/ingredientgroups/deddb5ecf2b44e79a75ddcc05a5cc298.png?h=120&w=120,,https://www.tasteatlas.com/republic-of-cyprus,https://cdn.tasteatlas.com/images/emblems/74592be85f2e4054961ed7c77ed9e1c6.png,Republic of Cyprus,Best in   (Paphos),Letymbou Tavern,https://www.tasteatlas.com/LetymbouTavern,
https://www.tasteatlas.com/afelia,https://cdn.tasteatlas.com//Images/Dishes/3c0222a7193b4b5b8d539dd1ee3defe7.jpg?mw=660,5,Pork Dish,https://www.tasteatlas.com/pork-dishes,Afelia,3.4,"This pork-based dish regularly appears on Cypriot and Greek tables. Its name stems from , the ancient Greek word for. Afelia is traditionally prepared in a traditional earthenware vessel called , wh...",https://www.tasteatlas.com/afelia/wheretoeat,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,https://www.tasteatlas.com/Red-wine,https://cdn.tasteatlas.com/images/ingredientgroups/b0e181d5d7e04d8181ad334840bec250.png?h=120&w=120,https://www.tasteatlas.com/coriander-seeds,https://cdn.tasteatlas.com/images/ingredientgroups/7e769e37c51d4b6dba28771a3145d1bd.png?h=120&w=120,https://www.tasteatlas.com/bay-leaves,https://cdn.tasteatlas.com/images/ingredientgroups/ed05cd6d676240efbb75684f6c536b7d.png?h=120&w=120,https://www.tasteatlas.com/cumin,https://cdn.tasteatlas.com/images/ingredientgroups/4249a750e5b54ffb8fb873a2c5463d06.png?h=120&w=120,ovelia,https://www.tasteatlas.com/republic-of-cyprus,https://cdn.tasteatlas.com/images/emblems/74592be85f2e4054961ed7c77ed9e1c6.png,Republic of Cyprus,Best in   (Paphos),Letymbou Tavern,https://www.tasteatlas.com/LetymbouTavern,
https://www.tasteatlas.com/souvla,https://cdn.tasteatlas.com//Images/Dishes/d1799584dc1849a8b4d6714e568673c8.jpg?mw=660,6,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Souvla,4.4,"This Cypriot-style barbecue dish is made with seasoned and marinated meat, typically lamb, pork, or chicken, which is placed on a long skewer and slow-roasted over an open fire. The marinating process makes the meat incredibly tender and succulent...",https://www.tasteatlas.com/souvla/wheretoeat,,,,,,,,,,,,,,https://www.tasteatlas.com/republic-of-cyprus,https://cdn.tasteatlas.com/images/emblems/74592be85f2e4054961ed7c77ed9e1c6.png,Republic of Cyprus,Best in   (Paphos),Mandra Tavern,https://www.tasteatlas.com/mandra-tavern,
https://www.tasteatlas.com/bourekia,https://cdn.tasteatlas.com//images/dishes/f1316b2feca3437095c6136a34ebf35f.jpg?mw=660,7,Pastry,https://www.tasteatlas.com/pastry,Bourekia,,"Bourekia is a traditional Cypriot pastry that is usually made with thin and flaky phyllo dough and filled with cheese. The small, semicircular pastries come in sweet or savory versions, and theyâ€™re typically deep-fried in oil until golden br...",https://www.tasteatlas.com/bourekia/wheretoeat,,,,,,,,,,,,,,https://www.tasteatlas.com/republic-of-cyprus,https://cdn.tasteatlas.com/images/emblems/74592be85f2e4054961ed7c77ed9e1c6.png,Republic of Cyprus,,,,n/a
https://www.tasteatlas.com/flaouna,https://cdn.tasteatlas.com//Images/Dishes/e73c9854525b4094a4dfc82581fa5b1c.jpg?mw=660,8,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Flaouna,4.2,"Flaouna is a traditional Cypriot pastry consisting of flour, eggs, sugar, butter, yeast, water, and salt. It is additionally enriched with cheese, raisins, and fresh herbs such as mint. The dough is sprinkled with sesame seeds on top and baked unt...",https://www.tasteatlas.com/flaouna/wheretoeat,,,,,,,,,,,,,,https://www.tasteatlas.com/republic-of-cyprus,https://cdn.tasteatlas.com/images/emblems/74592be85f2e4054961ed7c77ed9e1c6.png,Republic of Cyprus,,,,
https://www.tasteatlas.com/hellimli,https://cdn.tasteatlas.com//images/dishes/f619b9dcae2b48ea8e12e43ed4d5c6fa.jpg?mw=660,9,Bread,https://www.tasteatlas.com/Breads,Hellimli,4.2,"Hellimli is a Cypriot bread consisting of flour, water, salt, butter, and olive oil. It is enriched by the addition of chopped onions, mint, and diced halloumi cheese. The dough is traditionally baked in clay ovens until the exterior of the bread ...",https://www.tasteatlas.com/hellimli/wheretoeat,,,,,,,,,,,,,,https://www.tasteatlas.com/republic-of-cyprus,https://cdn.tasteatlas.com/images/emblems/74592be85f2e4054961ed7c77ed9e1c6.png,Republic of Cyprus,,,,
https://www.tasteatlas.com/lountza,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,10,Pork Dish,https://www.tasteatlas.com/pork-dishes,Lountza,3.7,"This wine-marinated, smoked pork tenderloin is one of the most popular local delicacies in Cyprus, usually associated with the Pitsilia region. Although the method of preparation is probably much older, the name  stems from the Ita...",https://www.tasteatlas.com/lountza/wheretoeat,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/coriander-seeds,https://cdn.tasteatlas.com/images/ingredientgroups/7e769e37c51d4b6dba28771a3145d1bd.png?h=120&w=120,https://www.tasteatlas.com/cumin,https://cdn.tasteatlas.com/images/ingredientgroups/4249a750e5b54ffb8fb873a2c5463d06.png?h=120&w=120,https://www.tasteatlas.com/Red-wine,https://cdn.tasteatlas.com/images/ingredientgroups/b0e181d5d7e04d8181ad334840bec250.png?h=120&w=120,https://www.tasteatlas.com/black-pepper,https://cdn.tasteatlas.com/images/ingredientgroups/deddb5ecf2b44e79a75ddcc05a5cc298.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,lountza,https://www.tasteatlas.com/republic-of-cyprus,https://cdn.tasteatlas.com/images/emblems/74592be85f2e4054961ed7c77ed9e1c6.png,Republic of Cyprus,Best in   (Nicosia),Mezostrati Tavern,https://www.tasteatlas.com/mezostrati-tavern,
https://www.tasteatlas.com/loukoumigeroskipouxxx,https://cdn.tasteatlas.com//images/dishes/42c014b34f3541d9b4ec180934eb16af.jpg?mw=660,11,Dessert,https://www.tasteatlas.com/Desserts,Loukoumi geroskipou,4.0,"Loukoumi Geroskipou is a type of flavored rahat lokum which is made from sugar within the boundaries of Geroskipou municipality. It is coated in powdered sugar or shredded coconut, and it may be flavored or enriched with rose, strawberry, mandarin...",https://www.tasteatlas.com/loukoumigeroskipouxxx/wheretoeat,,,,,,,,,,,,,,https://www.tasteatlas.com/geroskipou,,Geroskipou,,,,
https://www.tasteatlas.com/tsamarella,https://cdn.tasteatlas.com//images/dishes/707c992d3c41401f8a40055892774dc3.jpg?mw=660,12,Appetizer,https://www.tasteatlas.com/Appetizers,Tsamarella,4.2,"Sun-dried goat meat is another Cypriot centuries-old delicacy and one of the country's most prized cold cuts, particularly associated with Marathasa Valley, Pitsilia, and Paphos. Traditionally, tsamarella is made with goat thigh, the leanest and m...",https://www.tasteatlas.com/tsamarella/wheretoeat,,,,,,,,,,,,,,https://www.tasteatlas.com/republic-of-cyprus,https://cdn.tasteatlas.com/images/emblems/74592be85f2e4054961ed7c77ed9e1c6.png,Republic of Cyprus,,,,
https://www.tasteatlas.com/sakoulas-cyprus,https://cdn.tasteatlas.com//Images/Dishes/86b988cf271f48ea8c19d0a352e5a635.jpg?mw=660,13,Dip,https://www.tasteatlas.com/dips,Labneh,4.2,Creamy texture and mild flavor are the main attributes of labneh; a traditional Middle Eastern strained yogurt that is prepared with yogurt and salt. No strict guidelines are used to produce it; plain full-fat yogurt is mixed with salt and left to...,https://www.tasteatlas.com/sakoulas-cyprus/wheretoeat,https://www.tasteatlas.com/yogurt,https://cdn.tasteatlas.com/images/dishes/242742c498304e40a7500080f677c360.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,,,,,,,,,,,,,,,,
https://www.tasteatlas.com/antinaxtes,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,14,Side Dish,https://www.tasteatlas.com/Sides,Antinaxtes,,"Antinaxtes is a traditional dish originating from Cyprus. It's made with potatoes, olive oil, crushed coriander, dry red wine, salt, and pepper. The potatoes are washed and slightly crushed, then fried in olive oil. As the potatoes are frying, the...",https://www.tasteatlas.com/antinaxtes/wheretoeat,,,,,,,,,,,,,,,,,,,,n/a
https://www.tasteatlas.com/shamishi,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,15,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Shamishi,,"Shamishi is a popular Cypriot dessert consisting of fried pastry dough that is filled with sweet semolina paste. These treats are additionally flavored with cinnamon and orange blossom water, and are traditionally sprinkled with powdered sugar. Sh...",https://www.tasteatlas.com/shamishi/wheretoeat,,,,,,,,,,,,,,https://www.tasteatlas.com/republic-of-cyprus,https://cdn.tasteatlas.com/images/emblems/74592be85f2e4054961ed7c77ed9e1c6.png,Republic of Cyprus,,,,n/a
https://www.tasteatlas.com/resi,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,16,Porridge,https://www.tasteatlas.com/Porridge,Resi,,"Resi is a traditional dish originating from Cyprus, and it's especially associated with the Paphos region. The preparation of resi is linked with village weddings, and it's a ritual where the lamb is slowly cooked over low heat, while friends and ...",https://www.tasteatlas.com/resi/wheretoeat,,,,,,,,,,,,,,https://www.tasteatlas.com/paphos-district,,Paphos District,,,,n/a
https://www.tasteatlas.com/apohtin,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,17,Appetizer,https://www.tasteatlas.com/Appetizers,Apohtin,,"In Cyprus, salted goat meat is a common meze dish typically served alongside wine and , Cypriot grappa. This ancient meat preparation technique of Byzantine origin is said to have traditionally used the meat of goats that have died...",https://www.tasteatlas.com/apohtin/wheretoeat,,,,,,,,,,,,,zivania,https://www.tasteatlas.com/republic-of-cyprus,,Republic of Cyprus,,,,n/a