search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,item-location href,item-location,score-text--na
https://www.tasteatlas.com/khachapuri,https://cdn.tasteatlas.com//images/dishes/dfe5095fa6854403ac8b9fe86a30b01a.jpg?mw=660,1,Savory Pie,https://www.tasteatlas.com/savory-pies,Khachapuri,4.3,Best in   (Tbilisi),Sakhachapure â„–1,https://www.tasteatlas.com/sakhachapure-1,"This simple cheese bread known as khachapuri is the most famous dish in Georgia. It is traditionally topped with melted cheese, eggs and butter. There are different types of khachapuri, and even though some new cheese varieties such as mozzarella ...",https://www.tasteatlas.com/khachapuri/wheretoeat,https://www.tasteatlas.com/imeruli,https://cdn.tasteatlas.com/images/dishes/0f1804c5e9704b99ba9734855399ee04.png?h=120&w=120,https://www.tasteatlas.com/sulguni,https://cdn.tasteatlas.com/images/dishes/666ba955d1744c369c7d48ab1403df39.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,,,
https://www.tasteatlas.com/khinkali,https://cdn.tasteatlas.com//Images/Dishes/d9ae0ef06bc54f7cb4e6b5b928bc6f41.jpg?mw=660,2,Dumplings,https://www.tasteatlas.com/Dumplings,Khinkali,4.4,Best in   (Tbilisi),Maspindzelo,https://www.tasteatlas.com/maspindzelo,"These delicious Georgian dumplings known as khinkali are considered to be one of the national dishes of the country. The dumplings are filled with meat and spices, then traditionally twisted into a knot at the top. Regional differences influence t...",https://www.tasteatlas.com/khinkali/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,,,
https://www.tasteatlas.com/lobio,https://cdn.tasteatlas.com//Images/Dishes/3d08e62bca2f494996321c92c044af70.jpg?mw=660,3,Stew,https://www.tasteatlas.com/Stews,Lobio,4.3,,,,"Lobio is a Georgian invention that refers to a wide group of dishes that employ beans as a key ingredient. Most commonly, those are red kidney beans, boiled with various spices to create a thick stew, commonly served with , a tradit...",https://www.tasteatlas.com/lobio/wheretoeat,https://www.tasteatlas.com/kidney-beans,https://cdn.tasteatlas.com/images/ingredientgroups/3669e837911f49f58012b43a55ae3f15.png?h=120&w=120,https://www.tasteatlas.com/Walnuts,https://cdn.tasteatlas.com/images/ingredientgroups/ba2b29e1021746729a5afa8899ff8d7b.png?h=120&w=120,https://www.tasteatlas.com/coriander,https://cdn.tasteatlas.com/images/ingredientgroups/6070111d940042ddab6019a86951fc8b.png?h=120&w=120,https://www.tasteatlas.com/pomegranates,https://cdn.tasteatlas.com/images/ingredientgroups/c9a43320590448f7ac2d33cb05431efe.png?h=120&w=120,https://www.tasteatlas.com/cayenne-pepper,https://cdn.tasteatlas.com/images/dishes/e2e04922bd2647f3a8cf147a736c34b5.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,,,
https://www.tasteatlas.com/shashlik-georgia,https://cdn.tasteatlas.com//Images/Dishes/e6d621b9d0d1454199f48e0db7c05b09.jpg?mw=660,4,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Shashlik,4.6,Best in   (Sighnaghi),Lali,https://www.tasteatlas.com/lali,"Shashlik is the name for a traditional Central and West Asian barbecue consisting of marinated, skewered, and grilled chunks of meat such as lamb, beef, or pork, depending on regional and religious preferences. Lamb, beef, or pork is usually combi...",https://www.tasteatlas.com/shashlik-georgia/wheretoeat,,,,,,,,,,,,,,,
https://www.tasteatlas.com/kharcho,https://cdn.tasteatlas.com//Images/Dishes/db282d4d8ae84d4f9b7b1e0d905bad74.jpg?mw=660,5,Meat Soup,https://www.tasteatlas.com/meat-soups,Kharcho,4.4,Best in   (Tbilisi),Mapshalia,https://www.tasteatlas.com/mapshalia,"Kharcho is a hearty Georgian soup featuring beef or chicken, walnuts, and rice. It is traditionally seasoned with a Georgian spice blend called  (a combination of dried blue fenugreek, marigold petals, basil, parsley, fennel,...",https://www.tasteatlas.com/kharcho/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Walnuts,https://cdn.tasteatlas.com/images/ingredientgroups/ba2b29e1021746729a5afa8899ff8d7b.png?h=120&w=120,https://www.tasteatlas.com/Rice,https://cdn.tasteatlas.com/images/ingredientgroups/17d658e3b3964b849c47b9469c8e6465.png?h=120&w=120,https://www.tasteatlas.com/khmeli-suneli,https://cdn.tasteatlas.com/images/dishes/929baf08940847e1948d8ef1146adfbc.png?h=120&w=120,https://www.tasteatlas.com/tkemali,https://cdn.tasteatlas.com/images/dishes/f0cb69e8df2244c9b2f3f135f81b5b09.png?h=120&w=120,https://www.tasteatlas.com/samegrelo-upper-svaneti,Samegrelo-Upper Svaneti,
https://www.tasteatlas.com/chicken-tabaka,https://cdn.tasteatlas.com//images/dishes/dd0f89d165e4437c8903c2cfcfeb32c3.jpg?mw=660,6,Chicken Dish,https://www.tasteatlas.com/chicken-dishes,Chicken tabaka,4.4,,,,"Chicken tabaka is a popular Georgian dish consisting of a chicken that is fried in a special way in a traditional pan called  One should flatten the chicken on a pan by pressing it down with a weight. When it is properly prepared, th...",https://www.tasteatlas.com/chicken-tabaka/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Lemons,https://cdn.tasteatlas.com/images/ingredientgroups/e72116820fd94959b9d5e570b3df6316.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/black-pepper,https://cdn.tasteatlas.com/images/ingredientgroups/deddb5ecf2b44e79a75ddcc05a5cc298.png?h=120&w=120,https://www.tasteatlas.com/turmeric,https://cdn.tasteatlas.com/images/ingredientgroups/fcf079fe2d5243b99979db6ebf5210de.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,,,
https://www.tasteatlas.com/mtsvadi,https://cdn.tasteatlas.com//Images/Dishes/e0f44dd7956644589fc006ceee81d7c0.jpg?mw=660,7,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Mtsvadi,4.5,,,,"Mtsvadi is a traditional Georgian dish consisting of a skewered shish kebab. Ground pork, mutton, or veal is typically marinated in a mixture of lemon juice, pomegranate juice, tarragon, salt, pepper, and chopped onions, so that it remains tender ...",https://www.tasteatlas.com/mtsvadi/wheretoeat,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/sheep,https://cdn.tasteatlas.com/images/ingredientgroups/d8778f33783f49fc9cadb7f213e79551.png?h=120&w=120,https://www.tasteatlas.com/Veal,https://cdn.tasteatlas.com/images/ingredientgroups/e00edb320df14cf19120266635476549.png?h=120&w=120,https://www.tasteatlas.com/lemon-juices,https://cdn.tasteatlas.com/images/ingredientgroups/bbcffe4057b045df86c02995facd36b3.png?h=120&w=120,https://www.tasteatlas.com/pomegranates,https://cdn.tasteatlas.com/images/ingredientgroups/c9a43320590448f7ac2d33cb05431efe.png?h=120&w=120,https://www.tasteatlas.com/tarragons,https://cdn.tasteatlas.com/images/ingredientgroups/0a8a1d9dc7be498d9769b124bbfaf59c.png?h=120&w=120,,,
https://www.tasteatlas.com/kupati,https://cdn.tasteatlas.com//Images/Dishes/4633e7e70f2b4f259d90100b1c819fce.jpg?mw=660,8,Sausage,https://www.tasteatlas.com/Sausages,Kupati,4.2,Best in   (Tbilisi),Restorani Chashnagiri Sanapiro,https://www.tasteatlas.com/restorani-chashnagiri-sanapiro,"Kupati is a spicy Georgian sausage made with pork or beef, onions, and flavorings such as black pepper, cinnamon, garlic, salt, and coriander. It is especially popular in the Caucasus region. The sausage is most commonly grilled or fried before se...",https://www.tasteatlas.com/kupati/wheretoeat,,,,,,,,,,,,,,,
https://www.tasteatlas.com/tolma,https://cdn.tasteatlas.com//Images/Dishes/76d736d504e347f1bfc9dbec1830bb3a.jpg?mw=660,9,Ground Meat Dish,https://www.tasteatlas.com/ground-meat-dishes,Tolma,4.1,,,,"Tolma is a Georgian dish consisting of stuffed vegetables such as tomatoes, peppers, zucchini, and eggplants, or stuffed vine and cabbage leaves. The filling usually consists of ground meat, rice, and various herbs and spices. It is recommended to...",https://www.tasteatlas.com/tolma/wheretoeat,,,,,,,,,,,,,,,
https://www.tasteatlas.com/lobiani,https://cdn.tasteatlas.com//Images/Dishes/4a9e275065bf4d379891ddab38a629f7.jpg?mw=660,10,Bread,https://www.tasteatlas.com/Breads,Lobiani,4.4,,,,"Traditionally consumed at Barbaroba, the feast of St. Barbara, lobiani is a popular Georgian bread that is filled with mashed kidney beans and flavored with onions, parsley, coriander, and black pepper. The dough consists of flour, yeast, salt, an...",https://www.tasteatlas.com/lobiani/wheretoeat,,,,,,,,,,,,,https://www.tasteatlas.com/racha,Racha,
https://www.tasteatlas.com/ajika,https://cdn.tasteatlas.com//Images/Dishes/2458430f922b4657b48365150c99ce93.jpg?mw=660,11,Dip,https://www.tasteatlas.com/dips,Ajika,4.4,Best in   (Batumi),Kiziki,https://www.tasteatlas.com/kiziki,"Ajika is a hot and spicy Georgian paste made with hot peppers, garlic, walnuts, and fresh herbs and spices such as coriander, basil, dill, and marigold petals. It is most commonly used as a flavoring for various meat and fish dishes, although it c...",https://www.tasteatlas.com/ajika/wheretoeat,https://www.tasteatlas.com/Hot-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/e02c316cda454fff9c282a56a480b458.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Walnuts,https://cdn.tasteatlas.com/images/ingredientgroups/ba2b29e1021746729a5afa8899ff8d7b.png?h=120&w=120,https://www.tasteatlas.com/coriander,https://cdn.tasteatlas.com/images/ingredientgroups/6070111d940042ddab6019a86951fc8b.png?h=120&w=120,https://www.tasteatlas.com/basil,https://cdn.tasteatlas.com/images/ingredientgroups/71d3ba7ab4d243b6bd51683ad625a2c6.png?h=120&w=120,https://www.tasteatlas.com/dill,https://cdn.tasteatlas.com/images/ingredientgroups/8384c9ba7c584ab2901cac3361e56fea.png?h=120&w=120,https://www.tasteatlas.com/abkhazia,Abkhazia,
https://www.tasteatlas.com/imeruli-khachapuri,https://cdn.tasteatlas.com//Images/Dishes/56f558f71c504659b49b81853a2c1a08.jpg?mw=660,12,Savory Pie,https://www.tasteatlas.com/savory-pies,Imeruli khachapuri,4.3,Best in   (Tbilisi),Funicular Complex,https://www.tasteatlas.com/FunicularComplex,"Imeruli khachapuri is a traditional Georgian bread filled with melted cheese. Unlike traditional khachapuris, the imeruli variety is circular in shape. The dough consists of flour, salt, sugar, yeast, water, and sometimes yogurt, while the cheese ...",https://www.tasteatlas.com/imeruli-khachapuri/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/imeruli,https://cdn.tasteatlas.com/images/dishes/0f1804c5e9704b99ba9734855399ee04.png?h=120&w=120,https://www.tasteatlas.com/sulguni,https://cdn.tasteatlas.com/images/dishes/666ba955d1744c369c7d48ab1403df39.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/yeasts,https://cdn.tasteatlas.com/images/ingredientgroups/805b01e32cd74f6fbdc87146dbad384f.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/imereti,Imereti,
https://www.tasteatlas.com/ghomi,https://cdn.tasteatlas.com//images/dishes/743902f16a0f4f16a8509c1b18db7862.jpg?mw=660,13,Porridge,https://www.tasteatlas.com/Porridge,Ghomi,4.5,,,,Ghomi is a traditional dish from Georgia consisting of coarse and fine cornflour combined with water. Pieces of cheese such as sulguni are typically placed in the hot porridge to melt before consumption. The dish is often served with different sau...,https://www.tasteatlas.com/ghomi/wheretoeat,,,,,,,,,,,,,https://www.tasteatlas.com/samegrelo-upper-svaneti,Samegrelo-Upper Svaneti,
https://www.tasteatlas.com/adjarian-khachapuri,https://cdn.tasteatlas.com//images/dishes/cfd1e4b431934614b22c7f2134337d23.jpg?mw=660,14,Savory Pie,https://www.tasteatlas.com/savory-pies,Adjarian khachapuri,4.2,Best in   (Batumi),Porto Franco,https://www.tasteatlas.com/porto-franco,"One of the most popular khachapuri varieties, adjarian is an open-faced pie that is filled with a combination of cheese and eggs. The base is made from yeasted dough that is rolled into an oblong shape and traditionally comes filled with",https://www.tasteatlas.com/adjarian-khachapuri/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/imeruli,https://cdn.tasteatlas.com/images/dishes/0f1804c5e9704b99ba9734855399ee04.png?h=120&w=120,https://www.tasteatlas.com/sulguni,https://cdn.tasteatlas.com/images/dishes/666ba955d1744c369c7d48ab1403df39.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/yeasts,https://cdn.tasteatlas.com/images/ingredientgroups/805b01e32cd74f6fbdc87146dbad384f.png?h=120&w=120,https://www.tasteatlas.com/Adjara,Adjara,
https://www.tasteatlas.com/chakhokhbili,https://cdn.tasteatlas.com//Images/Dishes/49a430bf2b2e420480809ce6c9e1bc31.jpg?mw=660,15,Stew,https://www.tasteatlas.com/Stews,Chakhokhbili,4.5,,,,"Chakhokhbili is a traditional Georgian stew made with a whole chicken that is cut into pieces and combined with onions, tomatoes, vinegar, garlic, and spices such as coriander, parsley, hot green peppers, and bay leaves. The stew has a thick consi...",https://www.tasteatlas.com/chakhokhbili/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/Vinegar,https://cdn.tasteatlas.com/images/ingredientgroups/2dd31d3caa6049a486090f5204644be5.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/coriander,https://cdn.tasteatlas.com/images/ingredientgroups/6070111d940042ddab6019a86951fc8b.png?h=120&w=120,,,
https://www.tasteatlas.com/badrijani,https://cdn.tasteatlas.com//Images/Dishes/87012fc0f8054472a1ab33688d3495c8.jpg?mw=660,16,Appetizer,https://www.tasteatlas.com/Appetizers,Badrijani,4.4,Best in   (Tbilisi),Khinklis Sakhli,https://www.tasteatlas.com/KhinklisSakhli,"Badrijani is a heavily spiced Georgian dish consisting of eggplant slices that are coated with walnut paste, then shaped into small rolls. The eggplant slices are fried before serving, while the spread is prepared by combining ground walnuts, garl...",https://www.tasteatlas.com/badrijani/wheretoeat,https://www.tasteatlas.com/Eggplants,https://cdn.tasteatlas.com/images/ingredientgroups/9c53f075b64b42e1a8d446741e9904eb.png?h=120&w=120,https://www.tasteatlas.com/oil,https://cdn.tasteatlas.com/images/ingredientgroups/de5ec455464d4e0494c0f9ec4d2b1b1d.png?h=120&w=120,https://www.tasteatlas.com/Walnuts,https://cdn.tasteatlas.com/images/ingredientgroups/ba2b29e1021746729a5afa8899ff8d7b.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/coriander,https://cdn.tasteatlas.com/images/ingredientgroups/6070111d940042ddab6019a86951fc8b.png?h=120&w=120,https://www.tasteatlas.com/pomegranates,https://cdn.tasteatlas.com/images/ingredientgroups/c9a43320590448f7ac2d33cb05431efe.png?h=120&w=120,,,
https://www.tasteatlas.com/elarji,https://cdn.tasteatlas.com//images/dishes/a6b20d57cf944267917c0b8331e951a5.jpg?mw=660,17,Porridge,https://www.tasteatlas.com/Porridge,Elarji,4.7,Best in   (Tbilisi),Dadiani,https://www.tasteatlas.com/dadiani,"Elarji is a specialty of the Georgian Samegrelo region, prepared as a thick porridge consisting of coarse cornmeal, cornflour, and sulguni cheese. The dish has an extremely thick texture, and it is very elastic. It is traditionally served hot and ...",https://www.tasteatlas.com/elarji/wheretoeat,,,,,,,,,,,,,https://www.tasteatlas.com/samegrelo-upper-svaneti,Samegrelo-Upper Svaneti,
https://www.tasteatlas.com/chikhirtma,https://cdn.tasteatlas.com//images/dishes/8ab12a6c7b1d47859a3ee7aebc4d51fa.jpg?mw=660,18,Chicken Soup,https://www.tasteatlas.com/chicken-soups,Chikhirtma,4.2,Best in   (Batumi),Khinklis Gemo +,https://www.tasteatlas.com/khinklis-gemo,"Chikhirtma is a flavorful and hearty Georgian soup that is believed to be a great hangover cure. It consists of chicken pieces, onions, eggs, flour, vinegar, water, and seasonings such as salt, bay leaves, and coriander. It has a slightly sour fla...",https://www.tasteatlas.com/chikhirtma/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Vinegar,https://cdn.tasteatlas.com/images/ingredientgroups/2dd31d3caa6049a486090f5204644be5.png?h=120&w=120,https://www.tasteatlas.com/bay-leaves,https://cdn.tasteatlas.com/images/ingredientgroups/ed05cd6d676240efbb75684f6c536b7d.png?h=120&w=120,,,
https://www.tasteatlas.com/chakapuli,https://cdn.tasteatlas.com//images/dishes/4f117bbda2ac468aa18fcfcacd8b1bd6.jpg?mw=660,19,Stew,https://www.tasteatlas.com/Stews,Chakapuli,3.7,Best in   (Tbilisi),Tsiskvili,https://www.tasteatlas.com/tsiskvili,"Chakapuli is a popular Georgian stew consisting of either beef or lamb meat, unripe sour plums, spring onions, green peppers, white wine, and herbs and seasonings such as tarragon, coriander, garlic, and salt. It is especially popular during sprin...",https://www.tasteatlas.com/chakapuli/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Lamb,https://cdn.tasteatlas.com/images/ingredientgroups/6303dec1aa394f72b07b8bf7e4572177.png?h=120&w=120,https://www.tasteatlas.com/Plums,https://cdn.tasteatlas.com/images/ingredientgroups/6b5b38011c7d4e43af117c875ad232b2.png?h=120&w=120,https://www.tasteatlas.com/White-wine,https://cdn.tasteatlas.com/images/ingredientgroups/e7d8bfce6f814fb5a3b7396336f24f5e.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/bell-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/0f922f485f1b427393a6cd5a69f66b6f.png?h=120&w=120,,,
