search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text--na,search-results__item-description,search-results__item-link href 2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,item-location href,item-location,search-results__item-description 2
https://www.tasteatlas.com/svid,https://cdn.tasteatlas.com//images/dishes/a8d1744fcf754a9e8e905874be2767a4.jpg?mw=660,1,Lamb/Mutton Dish,https://www.tasteatlas.com/lamb-and-mutton-dishes,Svið,n/a,"Svið is an unusual and unique dish from Iceland consisting of singed, halved, and cooked sheep's head. The head is then cooked in an open fire (in order to remove the fur) and consumed. The dish is traditionally served with a side of mashed tu...",https://www.tasteatlas.com/svid/wheretoeat,,,,,,,
https://www.tasteatlas.com/icelandic-fish-and-chips,https://cdn.tasteatlas.com//images/dishes/56d57df5de334573a3acecec618ffba6.jpg?mw=660,2,Saltwater Fish Dish,https://www.tasteatlas.com/saltwater-fish-dishes,Icelandic Fish and Chips,,"This dish is an Icelandic version of the classic English fish and chips. In the UK, the batter is made with flour, vinegar, salt, beer, and baking soda, while the Icelandic version is made from spelt flour and without beer, making the rape seed oi...",https://www.tasteatlas.com/icelandic-fish-and-chips/wheretoeat,4.2,Best in   (Skógar),Mia's Country Van,https://www.tasteatlas.com/mias-country-van,,,
https://www.tasteatlas.com/hakarl,https://cdn.tasteatlas.com//images/dishes/49be7c1c18294b85a5e9391489e0a012.jpg?mw=660,3,Saltwater Fish Dish,https://www.tasteatlas.com/saltwater-fish-dishes,Hákarl,,"Hákarl is Iceland's national delicacy made from cured shark flesh, namely Greenland shark and other sleeper sharks. The meat is first fermented for up to three months, then hung and left to dry for another four to five months. There are two...",https://www.tasteatlas.com/hakarl/wheretoeat,1.8,Best in   (Reykjavík),Islenski Barinn,https://www.tasteatlas.com/IslenskiBarinn,,,
https://www.tasteatlas.com/harfiskur,https://cdn.tasteatlas.com//images/dishes/559c177a1f114f1b994dc1ab794bb05e.jpg?mw=660,4,Saltwater Fish Dish,https://www.tasteatlas.com/saltwater-fish-dishes,Harðfiskur,,"One of the staples of traditional Icelandic diet, harðfiskur is a fish delicacy made by following an old preserving method that involves drying fresh fish on wooden racks, outdoors in the cool Icelandic wind. The fish may be soaked in a weak b...",https://www.tasteatlas.com/harfiskur/wheretoeat,2.5,,,,https://www.tasteatlas.com/westfjords,Westfjords,
https://www.tasteatlas.com/kjotsupa,https://cdn.tasteatlas.com//images/dishes/ae50e83a7669487ba94dc399e4e81a4b.jpg?mw=660,5,Meat Soup,https://www.tasteatlas.com/meat-soups,Kjötsúpa,n/a,"This hearty Icelandic soup is a nourishing combination of lamb, preferably on the bone cuts, carrots, rutabaga, potatoes, onions, and various fresh or dried herbs. It is traditionally thickened with oatmeal or rice, while other additions may inclu...",https://www.tasteatlas.com/kjotsupa/wheretoeat,,Best in   (Reykjavík),Cafe Loki,https://www.tasteatlas.com/CafeLoki,,,
https://www.tasteatlas.com/hangikjot,https://cdn.tasteatlas.com//images/dishes/db8b691ac27a45a29f648cc2d1adb160.jpg?mw=660,6,Lamb/Mutton Dish,https://www.tasteatlas.com/lamb-and-mutton-dishes,Hangikjöt,n/a,"Hangikjöt is a smoked lamb specialty hailing from Iceland, where it has long been an integral part of local food culture. A cut of leg or shoulder is dry-salted or brined, then dried and cold-smoked over a fire for a couple of weeks. Traditio...",https://www.tasteatlas.com/hangikjot/wheretoeat,,,,,https://www.tasteatlas.com/westfjords,Westfjords,
https://www.tasteatlas.com/rugbrau,https://cdn.tasteatlas.com//Images/Dishes/4274d36a265a40faabd6f18d106bde11.jpg?mw=660,7,Bread,https://www.tasteatlas.com/Breads,Rúgbrauð,n/a,"Characterized by its dark brown color, rúgbrauð is a rich and dense Icelandic bread that was initially prepared solely with rye flour. It was traditionally steamed in underground pits that were located near numerous Icelandic geysers, a...",https://www.tasteatlas.com/rugbrau/wheretoeat,,,,,,,
https://www.tasteatlas.com/icelandic-hot-dog,https://cdn.tasteatlas.com//Images/Dishes/21114e9ae42c4983bb64a213b674386b.jpg?mw=660,8,Hot Dog,https://www.tasteatlas.com/hot-dogs,Icelandic Hot Dog,n/a,"Icelandic hot dog or  is a unique combination of a sausage made from Icelandic free-range lamb, a warm, steamed bun, and toppings such as fried and raw onions, ketchup, sweet brown mustard, and remoulade. This flavorful hot dog was ...",https://www.tasteatlas.com/icelandic-hot-dog/wheretoeat,,Best in   (Reykjavík),Bæjarins Beztu Pylsur,https://www.tasteatlas.com/bjarins-beztu-pylsur,https://www.tasteatlas.com/reykjavik,Reykjavík,pylsur
https://www.tasteatlas.com/thorramatur,https://cdn.tasteatlas.com//images/dishes/1bffdfaa3437428fad6d5a5e5eeebe56.jpg?mw=660,9,Assorted Small Dishes or Ritual,https://www.tasteatlas.com/small-dishes,Thorramatur,n/a,"Thorramatur is a selection of traditional Icelandic foods consumed predominantly during the Nordic month of Þorri, taking place from mid-January to mid-February each year. Cured fish and meat products are cut into slices or bite-sized pieces...",https://www.tasteatlas.com/thorramatur/wheretoeat,,Best in   (Reykjavík),Islenski Barinn,https://www.tasteatlas.com/IslenskiBarinn,,,
https://www.tasteatlas.com/vinarterta,https://cdn.tasteatlas.com//images/dishes/ebc693c1fc5f4c63809645aaf0ce1057.jpg?mw=660,10,Cake,https://www.tasteatlas.com/cakes,Vínarterta,n/a,"This layered Icelandic dessert is known as  or vínarterta (Vienna cake). Although the cake is incredibly versatile and its exact form and ingredients are often debated, it traditionally consists of thin shortbread la...",https://www.tasteatlas.com/vinarterta/wheretoeat,,,,,,,randalín
https://www.tasteatlas.com/broddur,https://cdn.tasteatlas.com//images/dishes/61fb20e322cd47b28047f993ac73d892.jpg?mw=660,11,Dessert,https://www.tasteatlas.com/Desserts,Oven Cheese (Broddur),n/a,"This traditional Scandinavian dish is prepared with a combination of cow’s milk and beestings or colostrum – a yellow, rich milk produced by the animal right after it gave birth to a calf. The mixture is baked in the oven and the produ...",https://www.tasteatlas.com/broddur/wheretoeat,,,,,,,
https://www.tasteatlas.com/laufabrau,https://cdn.tasteatlas.com//images/dishes/abd87f94c22f4b088c39bacebd6dea93.jpg?mw=660,12,Flatbread,https://www.tasteatlas.com/Flatbreads,Laufabrauð,n/a,"Translated as leaf bread, this classic flatbread is a Christmas staple in Iceland that was first mentioned in writing in 1736. It is prepared with a basic dough that incorporates flour, butter, sugar, milk, and is typically enriched with caraway. ...",https://www.tasteatlas.com/laufabrau/wheretoeat,,,,,,,
https://www.tasteatlas.com/abrystir,https://cdn.tasteatlas.com//images/dishes/1b3b7122775e432a958ac04dbada2863.jpg?mw=660,13,Pudding,https://www.tasteatlas.com/puddings,Ábrystir,n/a,"Ábrystir is a delicious Icelandic pudding made with  – the first milk from a cow or sheep after giving birth. It has a very rich and thick texture, similar to that of crème brûlée. Ábrystir...",https://www.tasteatlas.com/abrystir/wheretoeat,,,,,,,colostrum
https://www.tasteatlas.com/flatkaka,https://cdn.tasteatlas.com//Images/Dishes/b59ad1d4e79a4ef3b4e3f1a56d9a925e.jpg?mw=660,14,Flatbread,https://www.tasteatlas.com/Flatbreads,Flatkaka,n/a,"Flatkaka, meaning , is a traditional Icelandic rye bread characterized by its flat appearance and fork prick marks on its surface. The flatbread is unleavened and baked in a pan, then served cut into quarters or halves. In the pa...",https://www.tasteatlas.com/flatkaka/wheretoeat,,,,,,,flat cake
https://www.tasteatlas.com/skyronnes,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,15,Dip,https://www.tasteatlas.com/dips,Skyronnes,n/a,"Skyronnes is an dipping sauce originating from Iceland. The sauce is usually made with  (traditional Icelandic yogurt), olive oil, and a variety of fresh herbs and spices. Skyronnes is usually served as an accompaniment to Icelandic f...",https://www.tasteatlas.com/skyronnes/wheretoeat,,,,,,,skyr