search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,search-results__item-description,search-results__item-link href 2,score-text--na
https://www.tasteatlas.com/beshbarmak,https://cdn.tasteatlas.com//Images/Dishes/9fe137dbccec4c35ab5aea1bc38ce09d.jpg?mw=660,1,Meat Dish,https://www.tasteatlas.com/Meat-dishes,Beshbarmak,"Beshbarmak is probably the most popular Kazakh dish. The name of the dish can be translated as , referring to the nomadic tribes who lived in Central Asia and would eat the dish with their hands. Cooked horse, mutton, beef, or...",https://www.tasteatlas.com/beshbarmak/wheretoeat,
https://www.tasteatlas.com/kazy,https://cdn.tasteatlas.com//images/dishes/9fd3161b13734f7fbadd71c80314bc57.jpg?mw=660,2,Sausage,https://www.tasteatlas.com/Sausages,Kazy,"Kazy is a Kazakh horse sausage that is also prepared in other Central Asian countries such as Uzbekistan and Kyrgyzstan. Traditionally, the sausage is made with meat and fat taken from the ribs. It is usually seasoned with garlic, pepper, and salt...",https://www.tasteatlas.com/kazy/wheretoeat,n/a
https://www.tasteatlas.com/baursak,https://cdn.tasteatlas.com//Images/Dishes/e922ef5b24a94fb889666121669c24fd.jpg?mw=660,3,Bread,https://www.tasteatlas.com/Breads,Baursak,"Baursak is a unique fried bread with a puffy appearance consisting of flour, milk, salt, sugar, eggs, butter, and yeast. The bread is fried only for special occasions such as birthdays, weddings, or memorials. It is believed that the smell of oil ...",https://www.tasteatlas.com/baursak/wheretoeat,n/a
https://www.tasteatlas.com/tohax,https://cdn.tasteatlas.com//images/dishes/15d7ec6bce704e3a86c66ba346c2f311.jpg?mw=660,4,Bread,https://www.tasteatlas.com/Breads,Tohax,"Tohax is a traditional, round-shaped bread that is especially popular in parts of Central Asia such as Kazakhstan and Uzbekistan. It is characterized by a large indentation in its center. The bread is baked until it develops a golden brown crust a...",https://www.tasteatlas.com/tohax/wheretoeat,n/a
https://www.tasteatlas.com/shalgam,https://cdn.tasteatlas.com//images/dishes/8383fd331aae45c486dfec50f980bf30.jpg?mw=660,5,Salad,https://www.tasteatlas.com/Salads,Shalgam,"Shalgam is a traditional salad originating from Kazahstan. It is typically prepared with a combination of grated radish, carrots, bell peppers, onions, and garlic. The salad is dressed with a combination of white wine vinegar, sugar, oil, salt, an...",https://www.tasteatlas.com/shalgam/wheretoeat,n/a
https://www.tasteatlas.com/shelpek,https://cdn.tasteatlas.com//images/dishes/bf800a82b6ac40509b83f0f18ff982ea.jpg?mw=660,6,Flatbread,https://www.tasteatlas.com/Flatbreads,Shelpek,"Shelpek is a traditional flatbread hailing from Kazakhstan. It's made with a combination of flour, sugar, milk, salt, yeast or baking powder, and oil for frying. Once prepared, the dough is divided into balls, and each one is then rolled into a th...",https://www.tasteatlas.com/shelpek/wheretoeat,n/a
https://www.tasteatlas.com/zhaya,https://cdn.tasteatlas.com//images/dishes/23ed012024ea47bc811a9b24a9c957a1.jpg?mw=660,7,Appetizer,https://www.tasteatlas.com/Appetizers,Zhaya,"Zhaya is a traditional Kazakh meat delicacy made with horse meat. This specialty uses meat obtained from the animal’s hip (usually the upper muscular section covered with fat) and hind leg, which is salted, dried, and smoked. Typically, the ...",https://www.tasteatlas.com/zhaya/wheretoeat,n/a
https://www.tasteatlas.com/zhal,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,8,Appetizer,https://www.tasteatlas.com/Appetizers,Zhal,"is one of an array of horse meat delicacies that are traditionally prepared in Kazakhstan. It is typically made by salting, drying, and smoking the oblong portion of fat coming from the underpart of the horse’s neck, which usua...",https://www.tasteatlas.com/zhal/wheretoeat,n/a
https://www.tasteatlas.com/mypalau,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,9,Offal Dish,https://www.tasteatlas.com/Offal,Mypalau,"Mypalau is a traditional dish hailing from Kazakhstan. The key ingredient of this specialty is sheep’s brain which is typically placed in a wooden bowl and combined with pieces of meat, hip bones’ marrow, broth with salted fat, and gar...",https://www.tasteatlas.com/mypalau/wheretoeat,n/a
https://www.tasteatlas.com/qarta,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,10,Horse Dish,https://www.tasteatlas.com/horse-dishes,Qarta,"Qarta is a horse meat dish popular in Kazakh and Kyrgyz culture. It consists of boiled and pan-fried horse rectum; specifically the last section of the digestive tract, not including the sphincter. Qarta is usually served as a side dish in a platt...",https://www.tasteatlas.com/qarta/wheretoeat,n/a
https://www.tasteatlas.com/ulpershek,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,11,Offal Dish,https://www.tasteatlas.com/Offal,Ulpershek,"Hailing from Kazakhstan, ulpershek is a traditional meat specialty consisting of horse's heart, aortas, and fat. This dish is typically prepared in winter when Kazakhs customarily slaughter their animals, and it may also use mutton instead of hors...",https://www.tasteatlas.com/ulpershek/wheretoeat,n/a