search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,search-results__item-description 2
https://www.tasteatlas.com/rougaille,https://cdn.tasteatlas.com//images/dishes/461025723e864af6b5ca624f032a4594.jpg?mw=660,1,Stew,https://www.tasteatlas.com/Stews,Rougaille,"Rougaille is a classic Mauritian stew consisting of a tomato-based sauce that is enriched with spices such as ginger, chilies, coriander, onions, or curry leaves. The dish is extremely versatile, so once the sauce is prepared, fish, meat, seafood,...",https://www.tasteatlas.com/rougaille/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/daube-de-poulet,https://cdn.tasteatlas.com//images/dishes/9854aa01e72b40bc8901d655c023e897.jpg?mw=660,2,Stew,https://www.tasteatlas.com/Stews,Daube de poulet,"Daube de poulet is a popular Mauritian dish with French origins, consisting of chicken that is fried with various spices, ginger, onions, and garlic. The meat is then stewed in a rich tomato sauce with chilis. Originally, French settlers brought t...",https://www.tasteatlas.com/daube-de-poulet/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/Carrots,https://cdn.tasteatlas.com/images/ingredientgroups/c497c7c9cd1447ebabf0565c1ef4387e.png?h=120&w=120,https://www.tasteatlas.com/tomato-sauce,https://cdn.tasteatlas.com/images/dishes/46bce93d102c432885fd501717da1d6b.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,
https://www.tasteatlas.com/dholl-puri,https://cdn.tasteatlas.com//images/dishes/c71ebafe83ba4220a9a2404dea0c08d6.jpg?mw=660,3,Flatbread,https://www.tasteatlas.com/Flatbreads,Dholl puri,"Dholl puri is a small, pan-fried, stuffed flatbread from Mauritius. It is the most popular street food item on the island, filled with anything from  to chutneys and  rice pudding. The dish is consumed throughout th...",https://www.tasteatlas.com/dholl-puri/wheretoeat,,,,,,,,,,,,,rougaille
https://www.tasteatlas.com/farata,https://cdn.tasteatlas.com//images/dishes/a5160e5922514d83a4c5d967b93c24dd.jpg?mw=660,4,Flatbread,https://www.tasteatlas.com/Flatbreads,Farata,"Farata is the Mauritian version of Indian , a layered, flaky, pan-fried flatbread. It consists of three basic ingredients: flour, water, and oil. Faratas are traditionally served warm, accompanying spicy curry dishes or any kind of...",https://www.tasteatlas.com/farata/wheretoeat,,,,,,,,,,,,,paratha
https://www.tasteatlas.com/poisson-aigre-doux,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,5,Fish Dish,https://www.tasteatlas.com/Fish-dishes,Poisson aigre doux,"Poisson aigre doux is a traditional fish dish hailing from Mauritius. The dish consists of fried fish in a sweet and sour sauce. The list of ingredients usually includes fish fillets, bell peppers, onions, tomatoes, carrots, pineapple, mushrooms, ...",https://www.tasteatlas.com/poisson-aigre-doux/wheretoeat,https://www.tasteatlas.com/White-fish,https://cdn.tasteatlas.com/images/ingredientgroups/673fcb2e26434e1ca0adcf5734d193fe.png?h=120&w=120,https://www.tasteatlas.com/bell-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/0f922f485f1b427393a6cd5a69f66b6f.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Carrots,https://cdn.tasteatlas.com/images/ingredientgroups/c497c7c9cd1447ebabf0565c1ef4387e.png?h=120&w=120,https://www.tasteatlas.com/Mushrooms,https://cdn.tasteatlas.com/images/ingredientgroups/3be243024e714da6bca45d9377397805.png?h=120&w=120,
https://www.tasteatlas.com/bechamel-de-poisson,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,6,Saltwater Fish Dish,https://www.tasteatlas.com/saltwater-fish-dishes,Bechamel de poisson,"Bechamel de poisson is a traditional fish dish originating from Mauritius. The dish consists of fish in bechamel sauce and the list of ingredients includes white-fleshed fish, white wine, bouquet garni spices, onions, lemon, seasonings, and becham...",https://www.tasteatlas.com/bechamel-de-poisson/wheretoeat,https://www.tasteatlas.com/White-fish,https://cdn.tasteatlas.com/images/ingredientgroups/673fcb2e26434e1ca0adcf5734d193fe.png?h=120&w=120,https://www.tasteatlas.com/bechamel-sauce,https://cdn.tasteatlas.com/images/dishes/a1165229c9624d4abc0f924232188573.png?h=120&w=120,https://www.tasteatlas.com/White-wine,https://cdn.tasteatlas.com/images/ingredientgroups/e7d8bfce6f814fb5a3b7396336f24f5e.png?h=120&w=120,https://www.tasteatlas.com/bouquet-garni,https://cdn.tasteatlas.com/images/dishes/452687406e734369a9534106026c2cc7.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Lemons,https://cdn.tasteatlas.com/images/ingredientgroups/e72116820fd94959b9d5e570b3df6316.png?h=120&w=120,
https://www.tasteatlas.com/curry-jacques,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,7,Stew,https://www.tasteatlas.com/Stews,Curry Jacques,"Curry Jacques is a traditional curry originating from Mauritius. It's made with jackfruit as the main ingredient, hence the name. Other ingredients for the curry often include potatoes, onions, coriander, garam masala, cumin, turmeric, ginger, gar...",https://www.tasteatlas.com/curry-jacques/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/hakien,https://cdn.tasteatlas.com//images/dishes/b90d33261ec648bd98455a28bd8b09fb.jpg?mw=660,8,Appetizer,https://www.tasteatlas.com/Appetizers,Hakien,"Hakien is a traditional Mauritian dish consisting of a batter-dipped, deep-fried flour dough wrapper filled with ingredients such as pork, prawns, vegetables, or chicken. Due to similarities with the famous Chinese, it is saf...",https://www.tasteatlas.com/hakien/wheretoeat,,,,,,,,,,,,,spring rolls
https://www.tasteatlas.com/roti-chaud,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,9,Flatbread,https://www.tasteatlas.com/Flatbreads,Roti chaud,"Roti chaud is a traditional flatbread originating from Mauritius. This snack is essentially a roti flatbread that's filled with rougaille (tomato-based sauce) and butter bean curry known as gros pois. The flatbread is filled, rolled into a wrap, t...",https://www.tasteatlas.com/roti-chaud/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/oil,https://cdn.tasteatlas.com/images/ingredientgroups/de5ec455464d4e0494c0f9ec4d2b1b1d.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/Lima-beans,https://cdn.tasteatlas.com/images/ingredientgroups/530a9ed460b644bd93ef03b25ed03476.png?h=120&w=120,https://www.tasteatlas.com/coriander,https://cdn.tasteatlas.com/images/ingredientgroups/6070111d940042ddab6019a86951fc8b.png?h=120&w=120,
https://www.tasteatlas.com/gateaux-piments,https://cdn.tasteatlas.com//images/dishes/54de2c25e9b84e1cbb3fe683a8c5025a.jpg?mw=660,10,Snack,https://www.tasteatlas.com/Snacks,Gateaux piments,"Gateaux piments is a traditional dish originating from Mauritius. These chili fritters are made with a combination of chopped hot chili peppers, split peas, cumin, green onions, cilantro, and turmeric. The split peas are pulsed and mixed with the ...",https://www.tasteatlas.com/gateaux-piments/wheretoeat,https://www.tasteatlas.com/split-peas,https://cdn.tasteatlas.com/images/ingredientgroups/0d5e2194becd43f987fa5d1e49c7160a.png?h=120&w=120,https://www.tasteatlas.com/Hot-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/e02c316cda454fff9c282a56a480b458.png?h=120&w=120,https://www.tasteatlas.com/scallions,https://cdn.tasteatlas.com/images/ingredientgroups/b67f7d1375b542e6983e7b9d3750603f.png?h=120&w=120,https://www.tasteatlas.com/coriander,https://cdn.tasteatlas.com/images/ingredientgroups/6070111d940042ddab6019a86951fc8b.png?h=120&w=120,https://www.tasteatlas.com/cumin,https://cdn.tasteatlas.com/images/ingredientgroups/4249a750e5b54ffb8fb873a2c5463d06.png?h=120&w=120,https://www.tasteatlas.com/turmeric,https://cdn.tasteatlas.com/images/ingredientgroups/fcf079fe2d5243b99979db6ebf5210de.png?h=120&w=120,
https://www.tasteatlas.com/du-pain-frire,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,11,Snack,https://www.tasteatlas.com/Snacks,Du pain frire,"Du pain frire is a traditional dish originating from Mauritius. The dish is prepared by frying bread in oil. It's made with a combination of day-old bread slices, gram flour, white flour, spring onions, baking powder, crushed garlic and ginger, an...",https://www.tasteatlas.com/du-pain-frire/wheretoeat,https://www.tasteatlas.com/Breads,https://cdn.tasteatlas.com/images/dishgroups/1cf6c4cfb4354189b4bc5bb6a46ad000.png?h=120&w=120,https://www.tasteatlas.com/gram-flours,https://cdn.tasteatlas.com/images/ingredientgroups/cb656cfef58a41e09269bb98c99caf6f.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/scallions,https://cdn.tasteatlas.com/images/ingredientgroups/b67f7d1375b542e6983e7b9d3750603f.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120,
https://www.tasteatlas.com/gratin-de-giraumon,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,12,Side Dish,https://www.tasteatlas.com/Sides,Gratin de giraumon,"Gratin de giraumon is a traditional gratin dish originating from Mauritius. The dish is made with a combination of diced pumpkin, milk, egg yolks, butter, grated cheese (Cheddar and Parmesan), breadcrumbs, salt, and pepper. The pumpkin is boiled u...",https://www.tasteatlas.com/gratin-de-giraumon/wheretoeat,https://www.tasteatlas.com/Pumpkins,https://cdn.tasteatlas.com/images/ingredientgroups/e9b4f1746e4b409e96acc5ec788b0fda.png?h=120&w=120,https://www.tasteatlas.com/cheddar,https://cdn.tasteatlas.com/images/dishes/b459d32b2f5842baa7eaaf271626dca9.png?h=120&w=120,https://www.tasteatlas.com/parmigiano-reggiano,https://cdn.tasteatlas.com/images/dishes/afbcb4f501e2409181f3c0c9174dff8b.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,
https://www.tasteatlas.com/bhajas,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,13,Snack,https://www.tasteatlas.com/Snacks,Bhajas,"Bhajas is a traditional dish originating from Mauritius. These vegetable fritters are made with a combination of chickpea flour, all-purpose flour, onions, tomatoes, garlic, mixed vegetables, green chili peppers, coriander, and baking powder. The ...",https://www.tasteatlas.com/bhajas/wheretoeat,,,,,,,,,,,,,
https://www.tasteatlas.com/calamar-croustillant,https://cdn.tasteatlas.com//images/dishes/735d669449b642e29deeb848858c7c05.jpg?mw=660,14,Appetizer,https://www.tasteatlas.com/Appetizers,Calamar croustillant,"Calamar croustillant is a traditional seafood dish originating from Mauritius. It consists of crispy-fried squid pieces. The dish is made with a combination of squid rings, flour, breadcrumbs, eggs, crushed garlic paste, and cornstarch. The squid ...",https://www.tasteatlas.com/calamar-croustillant/wheretoeat,https://www.tasteatlas.com/squids,https://cdn.tasteatlas.com/images/ingredientgroups/1233d683cc3a467fb0a06d38a4f2aa77.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/breadcrumbs,https://cdn.tasteatlas.com/images/ingredientgroups/0981718c8c2d433cbbb82801849680f3.png?h=120&w=120,https://www.tasteatlas.com/corn-starch,https://cdn.tasteatlas.com/images/ingredientgroups/dfa4af586b3845a8b4e676e648dbf1eb.png?h=120&w=120,