search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,search-results__item-description,search-results__item-description 2,score-text--na,item-location href,item-location
https://www.tasteatlas.com/gala,https://cdn.tasteatlas.com//images/ingredients/c5d2a872328f406789602786e078def2.jpg?mw=660,1,Apple,https://www.tasteatlas.com/Apples,Gala,"is a variety of (typically) round-shaped apples characterized by their reddish-yellow color and a firm, crisp, yellow-tinged interior. Their flavor is slightly sweet with hints of vanilla, along with an accompanying floral aroma. The...",Gala,,,
https://www.tasteatlas.com/manuka-honey,https://cdn.tasteatlas.com//images/ingredients/dfc3871d2b7040b98ea526c09bdac160.jpg?mw=660,2,Honey,https://www.tasteatlas.com/Honey,Mānuka Honey,"is a honey variety that is popular in Australia and New Zealand, characterized by its high viscosity and a dark cream or dark brown color. It is produced by European honey bees who forage on the mānuka tree. The honey has a strong,...",Mānuka,,,
https://www.tasteatlas.com/braeburn,https://cdn.tasteatlas.com//images/ingredients/fa1bb0238b1d4073803fe52d8dffc2df.jpg?mw=660,3,Apple,https://www.tasteatlas.com/Apples,Braeburn,"is a variety of apples with a red and yellow skin. Underneath it, there’s flesh that is spicy-sweet in flavor, with hints of cinnamon and nutmeg. This apple variety was discovered in 1952 in New Zealand by a farmer named O....",Braeburn,,,
https://www.tasteatlas.com/queen-apples,https://cdn.tasteatlas.com//images/ingredients/3dec8d3fe2b54f7d9e92b75ec232e751.jpg?mw=660,4,Apple,https://www.tasteatlas.com/Apples,Queen Apples,"is an apple variety originating from New Zealand. It's a cross between the Gala and Splendor varieties. These large apples have an intensely red color of the skin, with small creamy speckles. The texture is fine-grained, crisp, and ...",Queen,n/a,,
https://www.tasteatlas.com/tuatua,https://cdn.tasteatlas.com//images/ingredients/df4c85178fbe4755950dfba6d7cb44c1.jpg?mw=660,5,Clams,https://www.tasteatlas.com/Clams,Tuatua,"Indigenous to New Zealand and officially named Paphies subtriangulata,  is a species of edible bivalve clam that is found on all three New Zealand islands, buried in sand on ocean beaches. Tuatua is characterized by its asymmetrical...",tuatua,n/a,,
https://www.tasteatlas.com/jazz,https://cdn.tasteatlas.com//images/ingredients/7882deada1df4976846ba3c300386858.jpg?mw=660,6,Apple,https://www.tasteatlas.com/Apples,Jazz,"Although these crisp-fleshed apples with a rosy red skin have New Zealander origins, they are nowadays also grown in numerous other countries such as the United States, the United Kingdom, and Chile. Their sweet and tangy flavor is often compared ...",,n/a,,
https://www.tasteatlas.com/mainland-cheese,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,7,Cheese,https://www.tasteatlas.com/Cheese,Mainland Cheese,"is a New Zealander cheese made from pasteurized cow's milk. The cows are fed a diet of high-quality grass while grazing outdoors, resulting in a golden yellow color and sweet, creamy notes of the cheese. There are four types of M...",Mainland,n/a,,
https://www.tasteatlas.com/pacific-rose,https://cdn.tasteatlas.com//images/ingredients/888560c88d9d413cab6b34d55eb4f247.jpg?mw=660,8,Apple,https://www.tasteatlas.com/Apples,Pacific Rose,"is a high-quality dessert apple variety from New Zealand, characterized by the rosy-red color of the exterior, and a unique, refreshing, crisp, and sweet flavor. It is a cross between  and  vari...",Pacific Rose,n/a,,
https://www.tasteatlas.com/elephant-shark,https://cdn.tasteatlas.com//images/ingredients/57bfa7b0c44249688deed2cf8af36e30.jpg?mw=660,9,White Fish,https://www.tasteatlas.com/White-fish,Elephant Shark,is a silver-gray fish that is related to sharks. It is usually found off the coast of New Zealand and Australia. The fish is characterized by its large pectoral fins and a cartilaginous trunk. It does not have a bony skelet...,Elephant shark,n/a,,
https://www.tasteatlas.com/airedale,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,10,Cheese,https://www.tasteatlas.com/Cheese,Airedale,"is a New Zealander cheese made from cow's milk. Underneath its waxed rind, this semi-soft cheese has a smooth texture with curd holes which appear occasionally. The flavors are salty, tangy, and milky, while the aromas are intens...",Airedale,n/a,https://www.tasteatlas.com/otago,Otago
https://www.tasteatlas.com/whitestone-farmhouse-cheese,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,11,Cheese,https://www.tasteatlas.com/Cheese,Whitestone Farmhouse Cheese,"is an artisan cheese made from cow's milk, originating from New Zealand. The cheese is covered in penicillin candidum rind. Underneath it, the texture is springy and elastic, while the aromas are fresh and grassy. The...",Whitestone Farmhouse,n/a,https://www.tasteatlas.com/oamaru,Oamaru
https://www.tasteatlas.com/bluff-oyster,https://cdn.tasteatlas.com//images/ingredients/83870a3d5af74f1c910e18b3e518f471.jpg?mw=660,12,Oysters,https://www.tasteatlas.com/oysters,Bluff Oyster,"Known by various names, this pear-shaped oyster is native to both New Zealand and Chile. In New Zealand, it is mainly wild caught in the South Island’s Foveaux Strait, Golden Bay and Tasman Bay. Since it is a deep-water oyster, it dies after...",,n/a,,
https://www.tasteatlas.com/envy,https://cdn.tasteatlas.com//images/ingredients/00f8ebc9334f49d9a731f49276e1f0ba.jpg?mw=660,13,Apple,https://www.tasteatlas.com/Apples,Envy,"Delicious, sweet, and juicy,  is an apple variety that is grown in orchards in New Zealand and across the world. The flavor of these apples is crisp and sweet, while their dense flesh stays bright long after they have been cut or slic...",Envy,n/a,,
https://www.tasteatlas.com/green-lipped-mussel,https://cdn.tasteatlas.com//images/ingredients/ceb223ae742a4a63a789535b4d38845a.jpg?mw=660,14,Mussels,https://www.tasteatlas.com/mussels,Green-Lipped Mussel,are native to New Zealand and represent an important staple in the Maori diet due to their anti-inflammatory properties. There are many products containing these mussels that are used in the treatment of asthma and os...,Green-lipped mussels,n/a,,
https://www.tasteatlas.com/meyer-vintage-gouda,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,15,Cheese,https://www.tasteatlas.com/Cheese,Meyer Vintage Gouda,"is a New Zealander cheese made from cow's milk. It's produced by Ben and Fieke Meyer, a Dutch couple that settled in Waikato and set up a farm to make this cheese. The cheese is hard and crumbly with a nice crunch. The...",Meyer Vintage Gouda,n/a,https://www.tasteatlas.com/hamilton-waikato,Hamilton
https://www.tasteatlas.com/mahoe-aged-gouda,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-3.jpg,16,Cheese,https://www.tasteatlas.com/Cheese,Mahoe Aged Gouda,"is a New Zealander cheese hailing from the Northland region, where it's produced by Mahoe Farmhouse Cheese. The cheese is made from pasteurized cow's milk and it's aged for at least 10 months before consumption. Underneat...",Mahoe Aged Gouda,n/a,https://www.tasteatlas.com/northland,Northland
https://www.tasteatlas.com/evansdale-farmhouse-brie,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-1.jpg,17,Cheese,https://www.tasteatlas.com/Cheese,Evansdale Farmhouse Brie,"is a New Zealander cheese hailing from Waikouaiti. The cheese is made from pasteurized cow's milk. Underneath its bloomy rind, the texture is firm, smooth, soft, and creamy. The aromas are grassy, while the flavor...",Evansdale Farmhouse Brie,n/a,https://www.tasteatlas.com/waikouaiti,Waikouaiti
https://www.tasteatlas.com/karengo,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,18,Seaweed,https://www.tasteatlas.com/Seaweed,Karengo,"is a type of edible seaweed, more precisely red algae of the Porphyra genus, which is indigenous to New Zealand. It ranges from dark green to purple in color and has a firm texture and mild flavor. After it is collected at rough-w...",Karengo,n/a,,
https://www.tasteatlas.com/dazzle-apples,https://cdn.tasteatlas.com//images/ingredients/23be7475cecc4a5cbd4524a7dec7da4a.jpg?mw=660,19,Apple,https://www.tasteatlas.com/Apples,Dazzle Apples,"is an apple variety originating from New Zealand. The apples are available from early March to August, and they are characterized by their large size and bright and glossy red skin. The texture of the white flesh is firm, juicy, an...",Dazzle,n/a,,
https://www.tasteatlas.com/kidds-orange-red,https://cdn.tasteatlas.com//images/ingredients/9427110289564ad5a78db35dcf54f8fa.jpg?mw=660,20,Apple,https://www.tasteatlas.com/Apples,Kidd's Orange Red,"A cross between Delicious and Cox's Orange Pippin apples, Kidd’s Orange Red was first bred in 1924. It is medium in size, red in color, and is characterized by its crisp, yellowish flesh, a balanced, aromatic flavor, and subtle sweetness. It...",,n/a,https://www.tasteatlas.com/greytown,Greytown
https://www.tasteatlas.com/red-dougherty,https://cdn.tasteatlas.com//images/ingredients/24098cba61e1480083a642c8efd235b9.jpg?mw=660,21,Apple,https://www.tasteatlas.com/Apples,Red Dougherty,"This New Zealand apple variety first appeared in Twyford as a red-colored mutation of the Doherty apple. The apples are convex in shape and medium in size, while their skin is characterized by a combination of green and red colors. With a firm, li...",,n/a,https://www.tasteatlas.com/twyford,Twyford
https://www.tasteatlas.com/breeze-apples,https://cdn.tasteatlas.com//images/ingredients/4c680b2b4818479285476093dc103a00.jpg?mw=660,22,Apple,https://www.tasteatlas.com/Apples,Breeze Apples,"is an apple variety hailing from New Zealand. These apples have a pink-red blush with a yellow background. The texture of the white flesh is dense, juicy, and very crisp, while the flavors are sweet and very aromatic. The apples ar...",Breeze,n/a,,
https://www.tasteatlas.com/huti-huti,https://cdn.tasteatlas.com//images/ingredients/7b9918ef91cb47479e6b16739a384e00.jpg?mw=660,23,Sweet Potato,https://www.tasteatlas.com/Sweet-potatoes,Huti Huti,"This variety of New Zealand  (sweet potatoes) is characterized by its white-colored skin and flesh. It is usually large, bent, and twisted and can grow up to 60 cm in size.  is one of four pre-European species of k...",kumara,n/a,,
https://www.tasteatlas.com/new-zealand-longfin-eel,https://cdn.tasteatlas.com//images/ingredients/65657befcddb44828e89fc78f1d00eee.jpg?mw=660,24,Eel,https://www.tasteatlas.com/eels,New Zealand Longfin Eel,"The New Zealand longfin eel is characterized by its dark brown color and long, slender body that can grow up to two meters in size, making it one of the largest freshwater eels in the world. Indigenous to New Zealand, where it inhabits rivers, lak...",,n/a,,
https://www.tasteatlas.com/huhu-beetle,https://cdn.tasteatlas.com//images/ingredients/04045debcee4476791faca75b8017424.jpg?mw=660,25,Insect,https://www.tasteatlas.com/Insects,Huhu Beetle,"is the biggest endemic longhorn beetle in New Zealand. Their larvae are known as huhu grubs, hatching from eggs that were deposited either in rotten wood or under the bark. During the huhu beetle season, from November to March, the M...",Huhu,n/a,,
https://www.tasteatlas.com/noke,https://cdn.tasteatlas.com//images/ingredients/ff0a7450a25747aeb5191bc86f2c522a.jpg?mw=660,26,Worm,https://www.tasteatlas.com/worms,Noke,"New Zealand’s soil abounds in native earthworms that are locally known as  or . Over 200 species of native earthworms have been identified so far, but there are many others which haven’t been identified yet. T...",noke,n/a,,
https://www.tasteatlas.com/rekamaroa,https://cdn.tasteatlas.com//images/ingredients/57f4210b84c1476f9e42b48ca7cb4fcd.jpg?mw=660,27,Sweet Potato,https://www.tasteatlas.com/Sweet-potatoes,Rekamaroa,"is one of the pre-European species of  (sweet potatoes) that have been used in Maori cuisine for centuries. It is characterized by its medium-sized tuber with a creamy flesh and skin with lighter green, almost yel...",Rekamaroa,n/a,,
https://www.tasteatlas.com/taputini,https://cdn.tasteatlas.com//images/ingredients/c607b42049e446028fb171e6df4e8203.jpg?mw=660,28,Sweet Potato,https://www.tasteatlas.com/Sweet-potatoes,Taputini,This variety of New Zealand  (sweet potatoes) is characterized by its elongated cream-colored tuber and dark green deeply lobed leaves. It is traditionally grown in the cooler areas of the country and belongs to the pre-European spe...,kumara,n/a,,
https://www.tasteatlas.com/telstar,https://cdn.tasteatlas.com//images/ingredients/9bf0a7aee68b446899e1b41aa4bd639d.jpg?mw=660,29,Apple,https://www.tasteatlas.com/Apples,Telstar,"Introduced in New Zealand in 1934, Telstar apples are a hybrid between Golden Delicious and Kidd’s Orange. Medium to large and oblate in form, their skin is green to yellow in color, with streaks of crimson. The flesh of Telstar apples is sw...",,n/a,https://www.tasteatlas.com/greytown,Greytown
https://www.tasteatlas.com/sonya-apple,https://cdn.tasteatlas.com//images/ingredients/28b40e73b56d4403805235e7751c6350.jpg?mw=660,30,Apple,https://www.tasteatlas.com/Apples,Sonya Apple,is an apple variety originating from New Zealand as a cross between Gala and Red Delicious. The apples are very tall and exceptionally sweet. They were released to the market in 2002. The skin is bi-colored with a light or dark red ...,Sonya,n/a,,
https://www.tasteatlas.com/splendour,https://cdn.tasteatlas.com//images/ingredients/c089d63da86b42c9915fc008b2bffd75.jpg?mw=660,31,Apple,https://www.tasteatlas.com/Apples,Splendour,"A cross between Red Dougherty and Golden Delicious apples, Splendour was first bred in 1948. Medium to large, the apples have a thin skin that ranges from dull red to pink in color. Characterized by their crisp, yellowish flesh and subtle sweetnes...",,n/a,,